Time,target_cpu,__cpu,curr_state,next_state,t_start,t_delta
0.170206,,3.0,A,S,0.170206,2.29999996009e-05
0.170229,,3.0,S,W,0.170229,0.000489000000016
0.170718,3.0,,W,A,0.170718,6.00000021223e-06
0.170724,,3.0,A,R,0.170724,6.5000000177e-05
0.170789,,3.0,R,A,0.170789,4.99999987369e-06
0.170794,,3.0,A,R,0.170794,8.09999996818e-05
0.170875,,3.0,R,A,0.170875,4.00000044465e-06
0.170879,,3.0,A,R+,0.170879,0.000163999999586
0.171043,,3.0,R+,A,0.171043,2.70000000455e-05
0.17107,,3.0,A,R,0.17107,3.80000001314e-05
0.171108,,3.0,R,A,0.171108,2.60000001617e-05
0.171134,,3.0,A,R+,0.171134,3.90000000152e-05
0.171173,,3.0,R+,A,0.171173,7.09999999344e-05
0.171244,,3.0,A,R+,0.171244,0.000353999999788
0.171598,,3.0,R+,A,0.171598,0.000116000000162
0.171714,,3.0,A,S,0.171714,1.69999998434e-05
0.171731,,3.0,S,W,0.171731,0.00384600000007
0.175577,3.0,,W,A,0.175577,7.30000001568e-05
0.17565,,3.0,A,R+,0.17565,0.00152499999967
0.177175,,3.0,R+,A,0.177175,0.000267000000349
0.177442,,3.0,A,S,0.177442,0.000168000000031
0.17761,,3.0,S,W,0.17761,0.0086809999998
0.186291,3.0,,W,A,0.186291,9.89999998637e-05
0.18639,,3.0,A,S,0.18639,5.89999999647e-05
0.186449,,3.0,S,W,0.186449,0.000682000000324
0.187131,3.0,,W,A,0.187131,2.39999999394e-05
0.187155,,3.0,A,R+,0.187155,0.000649999999951
0.187805,,3.0,R+,A,0.187805,0.00011399999994
0.187919,,3.0,A,S,0.187919,1.80000001819e-05
0.187937,,3.0,S,W,0.187937,0.00407300000006
0.19201,3.0,,W,A,0.19201,0.000430999999935
0.192441,,3.0,A,R+,0.192441,0.00126399999999
0.193705,,3.0,R+,A,0.193705,0.000254000000041
0.193959,,3.0,A,S,0.193959,0.000184999999874
0.194144,,3.0,S,W,0.194144,0.00850600000012
0.20265,3.0,,W,A,0.20265,0.000370999999632
0.203021,,3.0,A,S,0.203021,5.90000004195e-05
0.20308,,3.0,S,W,0.20308,0.00275299999976
0.205833,3.0,,W,A,0.205833,1.10000000859e-05
0.205844,,3.0,A,S,0.205844,4.49999997727e-05
0.205889,,3.0,S,W,0.205889,0.000490000000354
0.206379,3.0,,W,A,0.206379,4.59999996565e-05
0.206425,,3.0,A,R,0.206425,7.2000000273e-05
0.206497,,3.0,R,A,0.206497,9.99999974738e-06
0.206507,,3.0,A,R+,0.206507,0.00117300000011
0.20768,,3.0,R+,A,0.20768,0.000110999999833
0.207791,,3.0,A,S,0.207791,2.00000004043e-05
0.207811,,3.0,S,W,0.207811,0.000825999999961
0.208637,3.0,,W,A,0.208637,3.79999996767e-05
0.208675,,3.0,A,R,0.208675,1.30000003082e-05
0.208688,,3.0,R,A,0.208688,6.99999964127e-06
0.208695,,3.0,A,R,0.208695,0.000531000000137
0.209226,,3.0,R,A,0.209226,2.50000002779e-05
0.209251,,3.0,A,R+,0.209251,3.39999996868e-05
0.209285,,3.0,R+,A,0.209285,7.9999999798e-06
0.209293,,3.0,A,R,0.209293,4.60000001112e-05
0.209339,,3.0,R,A,0.209339,7.00000009601e-06
0.209346,,3.0,A,R,0.209346,7.19999998182e-05
0.209418,,3.0,R,A,0.209418,7.9999999798e-06
0.209426,,3.0,A,R,0.209426,4.20000001213e-05
0.209468,,3.0,R,A,0.209468,7.00000009601e-06
0.209475,,3.0,A,R+,0.209475,0.000324999999975
0.2098,,3.0,R+,A,0.2098,0.00018399999999
0.209984,,3.0,A,S,0.209984,0.000144999999975
0.210129,,3.0,S,W,0.210129,0.013085
0.223214,3.0,,W,A,0.223214,1.39999997373e-05
0.223228,,3.0,A,R+,0.223228,0.000253000000157
0.223481,,3.0,R+,A,0.223481,1.00000002021e-05
0.223491,,3.0,A,R+,0.223491,9.99999974738e-06
0.223501,,3.0,R+,A,0.223501,6.80000002831e-05
0.223569,,3.0,A,R+,0.223569,0.000160999999935
0.22373,,3.0,R+,A,0.22373,8.60000000102e-05
0.223816,,3.0,A,R+,0.223816,0.000348000000031
0.224164,,3.0,R+,A,0.224164,0.00010199999997
0.224266,,3.0,A,S,0.224266,2.79999999293e-05
0.224294,,3.0,S,W,0.224294,0.00201900000002
0.226313,3.0,,W,A,0.226313,5.69999997424e-05
0.22637,,3.0,A,R,0.22637,9.60000002124e-05
0.226466,,3.0,R,A,0.226466,7.00000009601e-06
0.226473,,3.0,A,R,0.226473,0.000110999999833
0.226584,,3.0,R,A,0.226584,1.10000000859e-05
0.226595,,3.0,A,R,0.226595,6.60000000607e-05
0.226661,,3.0,R,A,0.226661,7.9999999798e-06
0.226669,,3.0,A,R,0.226669,4.39999998889e-05
0.226713,,3.0,R,A,0.226713,7.00000009601e-06
0.22672,,3.0,A,R+,0.22672,0.00169699999969
0.228417,,3.0,R+,A,0.228417,0.000200000000405
0.228617,,3.0,A,S,0.228617,0.000169999999798
0.228787,,3.0,S,W,0.228787,0.00736400000005
0.236151,3.0,,W,A,0.236151,0.000419999999849
0.236571,,3.0,A,R,0.236571,0.000115000000278
0.236686,,3.0,R,A,0.236686,1.79999997272e-05
0.236704,,3.0,A,R+,0.236704,0.000158000000283
0.236862,,3.0,R+,A,0.236862,1.09999996312e-05
0.236873,,3.0,A,R+,0.236873,1.30000003082e-05
0.236886,,3.0,R+,A,0.236886,7.09999999344e-05
0.236957,,3.0,A,R+,0.236957,0.000197999999727
0.237155,,3.0,R+,A,0.237155,0.000120000000152
0.237275,,3.0,A,R+,0.237275,0.000101000000086
0.237376,,3.0,R+,A,0.237376,0.000356000000011
0.237732,,3.0,A,R+,0.237732,0.000379000000066
0.238111,,3.0,R+,A,0.238111,7.00000000506e-05
0.238181,,3.0,A,S,0.238181,4.09999997828e-05
0.238222,,3.0,S,W,0.238222,0.00364399999989
0.241866,3.0,,W,A,0.241866,6.5000000177e-05
0.241931,,2.0,A,D,0.241931,0.00110200000017
